nama_dosen,judul_penelitian,abstrak_penelitian,tahun_publikasi
"Dr. Yuri Ariyanto, S.Kom., M.Kom.",Enhancing Threat Hunting in Wazuh through a Hybrid Random Forest Model: A Comparative Study for Reducing MTTD and MTTR in Cybersecurity Operations,"The increasing sophistication of cyberattacks demands intelligent, adaptive Intrusion Detection Systems (IDSs) capable of rapid threat detection and response. This study proposes a Hybrid Random Forest (HRF) model integrated with the Wazuh platform to enhance threat hunting by reducing Mean Time to Detect (MTTD) and Mean Time to Respond (MTTR). The model is evaluated on two benchmark datasets, CSE-CIC-IDS2018 and ToN_IoT, using a methodology aligned with state-of-the-art approaches, including data preprocessing, Pearson Correlation Coefficient (PCC)-based feature selection, and Min-Max normalization. The results show high detection accuracies of 99.12% and 99.65% on the respective datasets, with significantly lower inference time compared to deep learning models. Integration with Wazuh enables real-time alerting and automated response, reducing MTTD and MTTR by up to 75% and 65%. A comparative analysis against a hybrid GRU-BiLSTM baseline reveals that while the HRF model achieves slightly lower accuracy on ToN_IoT, it outperforms it on CSE-CIC-IDS2018 and offers superior computational efficiency. This work presents a practical framework for deploying lightweight machine learning models in operational environments, demonstrating that ensemble methods like Random Forest are viable, interpretable, and operationally efficient alternatives to deep learning for proactive cybersecurity operations.",2026
"Dr. Yuri Ariyanto, S.Kom., M.Kom.",Implementasi Firewall Untuk Keamanan Dan Pencegahan Serangan Siber Di SMAI Kepanjen Kabupaten Malang,"The implementation of a firewall-based network security system has become increasingly important in maintaining data integrity and availability within educational institutions. The Community Service Program (PPM) conducted by Politeknik Negeri Malang aims to enhance the network security infrastructure at SMA Islam Kepanjen, Malang Regency, through the implementation of Wazuh as a cybersecurity solution. This approach includes the installation and configuration of network infrastructure, security audits, and training for IT staff on independent firewall management. The implementation methodology involves site surveys, network topology design, hardware and software installation, system testing, and technical mentoring. The outcomes achieved include increased awareness of cybersecurity issues and improved capacity of partner personnel in managing the network infrastructure. With the implementation of Wazuh, it is expected that SMA Islam Kepanjen will be able to proactively address cyber threats and serve as a model for information technology implementation in other schools across Malang Regency.",2025
"Dr. Yuri Ariyanto, S.Kom., M.Kom.",PELATIHAN INSTALASI CCTV PADA DESA BANDUNGREJOSARI SEBAGAI UPAYA MITIGASI RISIKO BANJIR DAN KEJAHATAN,"Bandungrejosari Village RT. 05/RW. 09, located in Sukun District, Malang City, is vulnerable to flooding due to its proximity to a river and has also faced increasing motorcycle theft. These conditions have raised community concerns and emphasized the need for preventive measures through technology. This program introduced the installation of Closed Circuit Television (CCTV) to support flood mitigation and strengthen neighborhood security, while also providing technical training and awareness on technology-based monitoring systems. The implementation followed a participatory and educational approach, involving stages of preparation, planning, training, installation, and evaluation. Residents actively participated in site surveys, practical device installation, and system simulations, ensuring community ownership of the initiative. Evaluation was conducted through direct observation and questionnaires distributed to 30 respondents. The results indicate that CCTV installation at strategic points effectively assisted in monitoring river conditions and areas prone to crime. Most residents expressed satisfaction, felt supported, and showed willingness to maintain the system. Overall, the program not only improved community preparedness and security but also enhanced collective awareness and participation in sustaining technological solutions for local challenges.",2025
"Dr. Yuri Ariyanto, S.Kom., M.Kom.",Optimasi Artificial Intelligence Sebagai Sistem Tutor Cerdas Pada Pembelajaran di SMA Muhammadiyah 1 Rambipuji,"Latar Belakang program pengabdian masyarakat ini adalah belum meratanya pengetahuan dan praktik penggunaan AI (Artificial Intelligence) di sekolah SMA Muhammadiyah 1 Rambipuji Jember. Tujuan program ini mendapatkan pengetahuan dalam membuat media pembelajaran menarik dengan menggunakan AI dan menggunakan AI dalam membuat media pembelajaran, seperti: video pembelajaran, slide presentasi, hiburan, dan lain-lain. Metode yang digunakan adalah program penyediaan buku panduan praktik dalam mempraktekkan AI sebagai tutor cerdas. Target luaran yang akan dihasilkan adalah mengenal atau memiliki pengetahuan lebih dan media pembelajaran berbasis AI. Hasil dari program ini diantaranya: Guru-guru SMA Muhammadiyah 1 Rambipuji dapat memiliki pengetahuan dan keterampilan dalam membuat media pembelajaran berbasis AI. Kesimpulan, program ini berhasil mencapai tujuan dengan memberikan dampak positif bagi guru-guru dalam penggunaan AI dalam pembuatan media pembelajaran di sekolah.",2025
"Dr. Yuri Ariyanto, S.Kom., M.Kom.",Penerapan Teknologi Cloud Untuk Pengembangan Website Resmi Yayasan Pendidikan Daarul Faroh Solihin,"Yayasan Pendidikan Daarul Faroh Solihin merupakan lembaga pendidikan nirlaba yang menyelenggarakan layanan PAUD, TK, TPA, dan TPQ bagi masyarakat dengan biaya terjangkau, namun menghadapi keterbatasan visibilitas digital yang berdampak pada rendahnya akses informasi terkait program pendidikan, kegiatan sekolah, dan pendaftaran peserta didik baru. Untuk menjawab permasalahan tersebut, kegiatan Pengabdian kepada Masyarakat ini bertujuan mengembangkan website resmi sebagai sarana informasi dan media komunikasi yang lebih efektif antara yayasan dengan masyarakat. Kegiatan dilaksanakan melalui beberapa tahapan, yaitu identifikasi kebutuhan sistem melalui wawancara dengan pengurus yayasan, perancangan dan pengembangan website menggunakan CMS WordPress yang dipilih karena kemudahan pengelolaan konten oleh pengguna non-teknis, serta penempatan website pada layanan komputasi awan (cloud computing) guna memastikan aksesibilitas yang stabil, aman, dan mudah dipelihara. Setelah pembangunan teknis selesai, dilakukan penyusunan konten awal yang mencakup profil yayasan, struktur organisasi, program pendidikan, galeri kegiatan, serta berita-berita terbaru yang relevan bagi orang tua dan masyarakat. Selain itu, diberikan pelatihan singkat kepada guru dan staf yayasan agar mampu mengelola dan memperbarui konten secara mandiri, sehingga keberlanjutan pemanfaatan website dapat terjaga. Hasil pelaksanaan menunjukkan bahwa website yang dikembangkan mampu meningkatkan eksistensi daring yayasan, menyediakan pusat informasi yang terstruktur, serta memperluas jangkauan promosi dan komunikasi publik. Website ini diharapkan dapat menjadi sarana pendukung utama dalam peningkatan kualitas layanan pendidikan dan transparansi informasi di Yayasan Pendidikan Daarul Faroh Solihin.",2025
"Muhammad Afif Hendrawan., S.Kom., M.T.",Pengembangan Alat Peraga Edukatif untuk Guru KB-TK Persatuan Istri Guru Malang,"This activity is carried out in order to welcome the increasing development of learning media that can be applied in daily teaching. In addition, teachers are also required to be able to make changes to the learning media in their own classes to see how to improve student learning outcomes by using varied learning media. The activities in this mentoring are that teachers from the KB TK PIG will be given training and mentoring in socialization activities to increase their knowledge/understanding of how to make educational teaching aids (APE). So that it can increase the teacher's imagination in developing all aspects and intelligence in their students. The final result of this activity is expected to be that each teacher will have educational and creative learning media that have good learning value.",2026
"Muhammad Afif Hendrawan., S.Kom., M.T.",A Parallel Convolutional Neural Network Approach for Classifying Malang Batik Motifs with Image Augmentation Techniques,"Batik, a traditional textile art recognized by UNESCO as an Intangible Cultural Heritage, holds profound cultural and aesthetic values across Indonesia. To support cultural preservation through digital recognition, this study proposes a classification approach for Malang batik motifs using a parallel Convolutional Neural Network (CNN) architecture. A dataset of 622 images across 31 motif classes was collected directly from three Malang batik production centers and enriched using various augmentation techniques to overcome data scarcity. The proposed model employs two parallel convolutional branches with different kernel sizes to capture multi-scale visual features, followed by concatenation, global average pooling, and fully connected layers for final classification. Model training was performed using a -fold cross-validation scheme with the Adam optimizer and ELU activation function.",2025
"Muhammad Afif Hendrawan., S.Kom., M.T.",Leveraging Ethereum-based Blockchain Framework for Equitable Carbon Marketplace: A Decentralized Tokenization Model in Indonesia,"Carbon credit trading is an evolving system that aims to mitigate climate change by providing financial incentives to reduce greenhouse gas emissions, where each carbon credit corresponds to the right to emit one ton of carbon dioxide or its equivalent. Indonesia’s carbon market, which leverages blue carbon credits from coastal ecosystems, is estimated to have an economic potential of approximately USD 25 billion between 2022 and 2026. Decentralized carbon credit trading leverages blockchain technology to create a transparent and secure marketplace that fosters peer-to-peer connections and democratizes access, utilizing features such as smart contracts and tokenization to enhance efficiency and reduce transaction costs. The study presents a model for a decentralized marketplace that incorporates a streamlined workflow, a blockchain framework, and automated processes via smart contracts,",2025
"Muhammad Afif Hendrawan., S.Kom., M.T.",Enhancing Biometric Identification Through EEG and ECG Fusion,"Biosignals have gained popularity in biometric identification system studies due to their characteristics, which are difficult to duplicate due to liveliness property. Two biosignals commonly used in biometric identification systems today are electroencephalogram (EEG) and electrocardiogram (ECG) signals. This study aims to leverage the unique properties of EEG and ECG signals through their integration at the feature level using a stacking and convolution process within a convolutional neural network (CNN). The fusion of these two biosignals is expected to improve both the accuracy and security of biometric identification systems. The study employs the N&C-TEC dataset, consisting of EEG and ECG signals from 15 subjects, to evaluate the effectiveness of the proposed method. Through stratified cross-validation on training and testing datasets, the proposed method achieved a high accuracy rate of 99.46% for both",2025
"Muhammad Afif Hendrawan., S.Kom., M.T.",Tingkat Kerawanan Desa Berdasarkan Dampak Bencana Kab.Bojonegoro Dengan Metode Clustering Algoritma K-Means,"The Bojonegoro Regency is a region that is quite prone to disasters, especially floods, landslides, and extreme weather. There have been 2,162 recorded incidents in the past three years, causing significant material and moral losses totaling IDR 1,986,210,000. In an effort to reduce future losses, early prevention measures can be taken by conducting research on the potential disaster-prone areas based on the impact of disasters that have occurred in the region. This study utilized data from 430 villages (2019-2022), considering 6 disaster impact parameters, including the number of disaster events, casualties, affected houses, affected land, material losses, and facility damage. The objective was to identify the vulnerability level of villages using the K-Means Clustering method. The optimal number of clusters was validated using the Davies Bouldin Index (DBI), and the data mining process followed the CRISP-DM standard. The trial results indicated that the optimal number of clusters is k=3. Cluster analysis revealed that Cluster 1 (3 villages) experienced more significant disasters, causing more damage to houses and land; Cluster 2 (17 villages) faced disasters with significant casualties, while Cluster 3 (410 villages) experienced disasters with the lowest impact.",2025
"Pramana Yoga Saputra, S.Kom., MMT.",Penguatan Manajemen Produksi Keju melalui Digitalisasi Pencatatan dan Peningkatan Fasilitas Produksi pada KUB Mustarika Jaya Makmur Malang,"KUB Mustarika Jaya Makmur di Ngantang, Kabupaten Malang, merupakan kelompok peternak sapi perah yang mengembangkan produk keju sebagai diversifikasi bernilai tambah. Mitra menghadapi dua permasalahan utama, yaitu belum adanya sistem pencatatan produksi yang sistematis sehingga kualitas dan kuantitas produk belum konsisten, serta kondisi ruang produksi yang belum memenuhi standar higienitas pangan. Program Pengabdian kepada Masyarakat ini bertujuan meningkatkan kapasitas mitra melalui digitalisasi pencatatan produksi dan perbaikan fasilitas produksi. Metode yang digunakan meliputi analisis kebutuhan melalui observasi dan wawancara, pengembangan aplikasi pencatatan produksi berbasis web menggunakan framework Laravel, serta renovasi ruang produksi untuk meningkatkan standar kebersihan. Hasil menunjukkan aplikasi berhasil diimplementasikan dan digunakan secara rutin, dengan peningkatan keteraturan pencatatan produksi dari 30% menjadi 75%. Renovasi fasilitas meningkatkan skor kelayakan higienitas dari 30% menjadi 90%, serta menaikkan kualitas hasil produksi keju sebesar 40% berdasarkan isian kuisioner kepuasan dari mitra. Program ini memperkuat manajemen produksi, meningkatkan konsistensi kualitas keju, dan mendukung kesiapan sertifikasi halal dan BPOM guna keberlanjutan usaha.",2026
"Pramana Yoga Saputra, S.Kom., MMT.",Pengembangan Alat Peraga Edukatif untuk Guru KB-TK Persatuan Istri Guru di Kota  Malang,"This activity is carried out in order to welcome the increasing development of learning media that can be applied in daily teaching. In addition, teachers are also required to be able to make changes to the learning media in their own classes to see how to improve student learning outcomes by using varied learning media. The activities in this mentoring are that teachers from the KB TK PIG will be given training and mentoring in socialization activities to increase their knowledge/understanding of how to make educational teaching aids (APE). So that it can increase the teacher's imagination in developing all aspects and intelligence in their students. The final result of this activity is expected to be that each teacher will have educational and creative learning media that have good learning value.",2026
"Pramana Yoga Saputra, S.Kom., MMT.",Enhancing Threat Hunting in Wazuh through a Hybrid Random Forest Model: A Comparative Study for Reducing MTTD and MTTR in Cybersecurity Operations,"The increasing sophistication of cyberattacks demands intelligent, adaptive Intrusion Detection Systems (IDSs) capable of rapid threat detection and response. This study proposes a Hybrid Random Forest (HRF) model integrated with the Wazuh platform to enhance threat hunting by reducing Mean Time to Detect (MTTD) and Mean Time to Respond (MTTR). The model is evaluated on two benchmark datasets, CSE-CIC-IDS2018 and ToN_IoT, using a methodology aligned with state-of-the-art approaches, including data preprocessing, Pearson Correlation Coefficient (PCC)-based feature selection, and Min-Max normalization. The results show high detection accuracies of 99.12% and 99.65% on the respective datasets, with significantly lower inference time compared to deep learning models. Integration with Wazuh enables real-time alerting and automated response, reducing MTTD and MTTR by up to 75% and 65%. A comparative analysis against a hybrid GRU-BiLSTM baseline reveals that while the HRF model achieves slightly lower accuracy on ToN_IoT, it outperforms it on CSE-CIC-IDS2018 and offers superior computational efficiency. This work presents a practical framework for deploying lightweight machine learning models in operational environments, demonstrating that ensemble methods like Random Forest are viable, interpretable, and operationally efficient alternatives to deep learning for proactive cybersecurity operations.",2026
"Pramana Yoga Saputra, S.Kom., MMT.",Evaluasi User Experience terhadap Materi Kelas dan Objek E-Learning OOPedia,"Pembelajaran Pemrograman Berorientasi Objek (PBO) seringkali menimbulkan kesulitan bagi mahasiswa karena sifat materinya yang abstrak dan kompleks. Kondisi ini menunjukkan perlunya media pembelajaran interaktif yang dapat membantu pemahaman konsep dasar PBO. Penelitian ini bertujuan mengevaluasi OOPedia, media pembelajaran berbasis web yang dirancang untuk mendukung materi kelas dan objek. Evaluasi dilakukan menggunakan User Experience Questionnaire (UEQ) yang mencakup enam dimensi: daya tarik, kejelasan, efisiensi, ketepatan, stimulasi, dan kebaruan. Responden penelitian ini adalah 44 mahasiswa Program Studi Sistem Informasi Bisnis yang sedang menempuh mata kuliah PBO. Data dikumpulkan melalui kuesioner daring yang terintegrasi pada OOPedia, kemudian dianalisis menggunakan perangkat UEQ. Hasil penelitian menunjukkan bahwa OOPedia memperoleh skor positif pada semua dimensi, yaitu daya tarik (1,803, kategori Good), kejelasan (1,301, Above Average), efisiensi (1,222, Above Average), ketepatan (1,369, Above Average), stimulasi (1,710, Excellent), dan kebaruan (0,983, Above Average). Kesimpulannya, OOPedia mampu memberikan pengalaman belajar yang menarik, mudah digunakan, dan memotivasi mahasiswa dalam memahami konsep PBO. Temuan ini menunjukkan bahwa OOPedia layak dikembangkan lebih lanjut dengan penambahan fitur interaktif untuk meningkatkan efektivitas pembelajaran.",2025
"Pramana Yoga Saputra, S.Kom., MMT.",Cyber Threat Detection and Automated Response Using Wazuh and Telegram API,"Cyber threats are becoming more widespread, notably those that use SSH to brute-force their way in or engage in Distributed Denial of Service attacks. These attacks can make networked systems very hard to reach, keep their data safe, and protect their privacy, especially for small and medium-sized organizations that can’t afford pricey professional security solutions. This research aims to develop an automated, cost-effective, and scalable cyber threat detection and response system for small and medium-sized organizations unable to afford commercial-grade security solutions. The methodology follows the structured Prepare, Plan, Design, Implement, Operate, Optimize lifecycle, leveraging open-source technologies, primarily the Wazuh Security Information and Event Management platform, augmented with custom detection rules and a Random Forest-based classification module to distinguish Normal, Brute Force, and Distributed Denial of Service traffic patterns. Experimental results demonstrate a Mean Time to Detect of 4.7 seconds for Brute Force and 7.3 seconds for Distributed Denial of Service, with a Mean Time to Respond of 8.2 seconds and under 10 seconds, respectively. The system achieved 98.4% detection accuracy and a 1.5% false positive rate across 100 controlled tests using THC Hydra and slowhttptest. Integration of Wazuh dashboard analytics with real-time Telegram alerts enhances situational awareness and enables prompt, automated incident response, validating open-source frameworks as viable defenses in resource-constrained environments.",2025
"Triana Fatmawati, S.T., M.T.",Pengembangan Chatbot Berbasis Framework RASA pada Website Bank Sampah Sriwilis,"Perkembangan teknologi informasi dalam bidang Natural Language Processing (NLP) membuka peluang pemanfaatan chatbot sebagai solusi layanan informasi berbasis website yang interaktif dan responsive di tengah keterbatasan tenaga pelayanan dan waktu operasional. Chatbot memungkinkan pengguna memperoleh informasi secara real-time tanpa keterlibatan operator manusia secara langsung, sehingga dapat meningkatkan efisiensi dan ketersediaan layanan. Penelitian ini bertujuan mengembangkan chatbot berbasis Framework Really Awesome Software Automation (RASA) pada Website Bank Sampah Sriwilis serta menganalisis pengaruh konfigurasi pipeline Natural Language Understanding (NLU) terhadap performa klasifikasi intent. Metode pengembangan sistem menggunakan model Waterfall yang meliputi tahap analisis kebutuhan, perancangan sistem, implementasi, dan pengujian. Dataset disusun dalam bahasa Indonesia, terdiri dari 9 intent dengan total 250 kalimat. Eksperimen dilakukan terhadap tiga konfigurasi pipeline, yaitu DIETClassifier sebagai model baseline, DIETClassifier dengan penambahan fitur leksikal melalui RegexFeaturizer dan LexicalSyntacticFeaturizer, serta LogisticRegressionClassifier sebagai model pembanding. Evaluasi kinerja model dilakukan menggunakan metrik accuracy, precision, recall, dan F1-score. Hasil penelitian menunjukkan bahwa model berbasis DIETClassifier memberikan peningkatan performa akurasi sebesar 5% dibandingkan Logistic Regression. Konfigurasi model dengan penambahan pipeline RegexFeaturizer dan LexicalSyntacticFeaturizer menghasilkan nilai accuracy terbaik sebesar 93%, precision 93%, recall 91%, dan F1-score 91%. Dengan demikian, pemilihan konfigurasi pipeline yang tepat serta penerapan fitur tambahan berpengaruh signifikan terhadap peningkatan performa chatbot berbasis RASA pada layanan informasi Bank Sampah Sriwilis.",2026
